Idx, longitude, latitude, start timestamp
0,0.750293,0.535606,-0.059799
1,0.750384,0.535263,266.206207
2,0.750751,0.542074,515.668579
3,0.753977,0.552104,765.321960
4,0.767789,0.586007,1014.847717
5,0.785827,0.627140,1264.450195
6,0.805250,0.669176,1513.960327
7,0.826704,0.693741,1763.582886
8,0.853120,0.707430,2013.090820
9,0.891314,0.711643,2262.645996
10,0.924760,0.714743,2512.285645
11,0.947400,0.718309,2761.756348
12,0.966780,0.709676,3011.485596
13,0.992890,0.687240,3260.933350
14,0.031814,0.654714,3510.535400
15,0.068962,0.625164,3759.979980
16,0.091697,0.600913,4009.674805
17,0.107151,0.592087,4259.126465
18,0.115299,0.589296,4508.720215
19,0.120690,0.586790,4758.311523
20,0.112042,0.575068,5007.794434
21,0.099816,0.566092,5257.377930
22,0.086430,0.553679,5506.992676
23,0.075672,0.546066,5756.632812
24,0.069895,0.544041,6006.074219
25,0.070546,0.535642,6255.740234
26,0.075408,0.531311,6505.224609
27,0.098765,0.530669,6754.715332
28,0.131214,0.531877,7004.351562
29,0.148253,0.530745,7253.943359
30,0.152534,0.531412,7503.439453
31,0.148641,0.533351,7753.039551
32,0.138825,0.540246,8002.563965
33,0.133102,0.559692,8252.200195
34,0.131828,0.582603,8501.738281
35,0.120531,0.578164,8751.276367
36,0.097599,0.559340,9000.922852
37,0.076802,0.546882,9250.425781
38,0.055215,0.542260,9500.001953
39,0.019761,0.537562,9766.125000
40,0.991919,0.535048,10015.761719
41,0.971678,0.532226,10265.277344
42,0.957543,0.528935,10514.901367
43,0.943250,0.527397,10764.428711
44,0.927675,0.525481,11013.978516
45,0.906415,0.525584,11280.236328
46,0.884501,0.523397,11513.094727
47,0.866387,0.520497,11762.644531
48,0.845655,0.517527,12012.210938
49,0.820995,0.516355,12261.847656
50,0.796925,0.516912,12511.344727
51,0.771880,0.517147,12777.638672
52,0.742479,0.512859,13027.066406
53,0.699164,0.510693,13260.069336
54,0.659074,0.509125,13509.622070
55,0.622267,0.507088,13759.182617
56,0.593912,0.514218,14008.708984
57,0.565864,0.515850,14258.308594
58,0.549944,0.512406,14507.957031
59,0.540574,0.509380,14757.425781
60,0.529397,0.506518,15007.035156
61,0.519519,0.510509,15339.813477
62,0.511397,0.520001,15589.265625
63,0.509615,0.535324,15755.668945
64,0.506399,0.559728,16088.387695
65,0.493619,0.575315,16338.025391
66,0.470469,0.573131,16570.958984
67,0.440923,0.557998,16820.558594
68,0.420517,0.544537,17070.052734
69,0.413324,0.544089,17302.990234
70,0.412288,0.546905,17552.558594
71,0.414713,0.552080,17802.173828
72,0.416302,0.555940,18034.990234
73,0.419670,0.569259,18284.636719
74,0.428400,0.616494,18534.113281
75,0.447810,0.617563,18783.736328
76,0.473049,0.592525,19016.640625
77,0.497860,0.569088,19266.251953
78,0.541764,0.545658,19515.707031
79,0.605916,0.521934,19765.320312
80,0.661854,0.514976,20014.958984
81,0.706771,0.515732,20297.718750
82,0.742024,0.516832,20530.699219
83,0.771169,0.518336,20780.216797
84,0.800272,0.519367,21029.837891
85,0.836019,0.519076,21262.742188
86,0.872159,0.523889,21512.330078
87,0.858357,0.531318,21778.410156
88,0.835727,0.525081,22028.083984
89,0.811131,0.515814,22277.683594
90,0.802911,0.511286,22510.519531
91,0.812951,0.510968,22760.068359
92,0.825460,0.511013,23026.322266
93,0.851132,0.509822,23259.294922
94,0.886986,0.509664,23508.777344
95,0.929320,0.514627,23758.406250
96,0.964503,0.522340,24007.900391
97,0.974907,0.525502,24257.492188
98,0.968206,0.526655,24507.003906
99,0.961332,0.528849,24756.613281
0,0.750283,0.470825,0.008278
1,0.750319,0.478090,266.285278
2,0.726626,0.510099,515.761230
3,0.658276,0.525084,765.412170
4,0.608237,0.523192,1014.966248
5,0.557018,0.523650,1264.549316
6,0.511595,0.518838,1514.100342
7,0.488235,0.512973,1763.670410
8,0.472781,0.506291,2013.277588
9,0.496988,0.499467,2262.764404
10,0.544781,0.501165,2512.390625
11,0.610175,0.496992,2761.856445
12,0.663191,0.498231,3011.499756
13,0.698967,0.490232,3260.981445
14,0.731503,0.482731,3510.587891
15,0.776670,0.481490,3760.202637
16,0.815148,0.482710,4009.722656
17,0.832176,0.485272,4259.380371
18,0.824602,0.476680,4508.835449
19,0.819606,0.473436,4758.443848
20,0.826572,0.471506,5007.973145
21,0.849406,0.475594,5257.476074
22,0.874298,0.478488,5507.101074
23,0.897904,0.482917,5756.697266
24,0.937416,0.485600,6006.243164
25,0.952905,0.490277,6255.823242
26,0.929829,0.495891,6505.267578
27,0.894676,0.511547,6754.941406
28,0.865217,0.545794,7004.538086
29,0.830360,0.556313,7254.061523
30,0.796430,0.535443,7503.643066
31,0.763159,0.514051,7753.235840
32,0.716153,0.498922,8002.781250
33,0.675073,0.501811,8252.293945
34,0.633527,0.503728,8518.502930
35,0.598000,0.513176,8751.361328
36,0.557199,0.521266,9017.641602
37,0.522107,0.539119,9267.159180
38,0.485160,0.563000,9500.166016
39,0.455197,0.582956,9766.361328
40,0.443753,0.603085,10015.913086
41,0.442083,0.633536,10265.466797
42,0.447897,0.681864,10515.011719
43,0.452255,0.722869,10764.582031
44,0.445804,0.665480,11014.092773
45,0.431814,0.658351,11263.737305
46,0.344087,0.683113,11513.248047
47,0.277013,0.666366,11762.876953
48,0.248126,0.658424,12012.364258
49,0.300348,0.620314,12261.981445
50,0.417103,0.604249,12594.717773
51,0.442241,0.584629,12844.337891
52,0.411171,0.550578,13093.848633
53,0.366310,0.527908,13343.336914
54,0.324058,0.515787,13576.328125
55,0.278802,0.510289,13825.968750
56,0.228489,0.523404,14075.432617
57,0.181559,0.528398,14325.079102
58,0.192238,0.539560,14557.968750
59,0.209931,0.548138,14807.556641
60,0.215679,0.558854,15040.427734
61,0.225066,0.541672,15290.063477
62,0.217750,0.521614,15539.550781
63,0.163587,0.525097,15772.548828
64,0.119274,0.524465,16022.074219
65,0.088207,0.515440,16255.053711
66,0.060838,0.512121,16504.566406
67,0.041778,0.513938,16754.169922
68,0.016539,0.543800,17003.658203
69,0.008263,0.614744,17253.289062
70,0.992523,0.679543,17502.740234
71,0.948611,0.740348,17785.630859
72,0.924358,0.788081,18018.501953
73,0.908559,0.827053,18268.173828
74,0.892807,0.858804,18517.736328
75,0.864256,0.891341,18750.660156
76,0.837310,0.910277,19000.287109
77,0.810685,0.918295,19266.396484
78,0.819298,0.918058,19516.007812
79,0.872123,0.896191,19765.457031
80,0.935762,0.855600,20048.375000
81,0.016802,0.829348,20281.230469
82,0.102647,0.840396,20530.828125
83,0.172254,0.861246,20780.445312
84,0.235615,0.877542,21029.960938
85,0.294730,0.894377,21279.621094
86,0.343069,0.904546,21529.101562
87,0.400946,0.909041,21778.748047
88,0.447407,0.911240,22028.250000
89,0.471027,0.912240,22261.228516
90,0.498805,0.895789,22527.298828
91,0.551073,0.854743,22776.921875
92,0.516437,0.751657,23009.835938
93,0.498300,0.617901,23259.417969
94,0.468901,0.633075,23508.939453
95,0.400844,0.678009,23775.193359
96,0.350281,0.680440,24024.851562
97,0.304858,0.643811,24274.285156
98,0.274068,0.597365,24507.205078
99,0.251924,0.554450,24756.853516
0,0.749975,0.512105,0.032904
1,0.749768,0.512524,266.267944
2,0.749590,0.513865,515.916199
3,0.750093,0.518191,765.337280
4,0.751230,0.528049,1015.023010
5,0.758318,0.543068,1264.482056
6,0.762008,0.561109,1514.082031
7,0.759626,0.605878,1763.566528
8,0.767606,0.657027,2013.187500
9,0.774960,0.695412,2262.688477
10,0.783184,0.714307,2512.305908
11,0.807519,0.724569,2761.866211
12,0.840121,0.726486,3011.557373
13,0.861089,0.725049,3261.056641
14,0.889567,0.717659,3510.612549
15,0.926395,0.693249,3760.217041
16,0.954574,0.671950,4009.664795
17,0.978395,0.675298,4259.311523
18,0.007835,0.673539,4508.784180
19,0.025072,0.674307,4758.457031
20,0.032489,0.670971,5007.902344
21,0.036720,0.641153,5274.172852
22,0.043599,0.580635,5507.031250
23,0.052203,0.541477,5756.669922
24,0.055175,0.532172,6006.144531
25,0.056587,0.534605,6255.750488
26,0.056058,0.535721,6505.412598
27,0.053222,0.535504,6754.885742
28,0.039805,0.532423,7004.557617
29,0.012311,0.530396,7254.028809
30,0.971760,0.524737,7503.659668
31,0.929090,0.520197,7786.383301
32,0.897094,0.526077,8002.746094
33,0.867276,0.521066,8285.669922
34,0.827208,0.510848,8518.539062
35,0.772575,0.506183,8751.373047
36,0.731361,0.497927,9000.970703
37,0.686788,0.484525,9250.588867
38,0.646596,0.484359,9500.101562
39,0.624590,0.480994,9782.957031
40,0.615315,0.479178,10015.873047
41,0.597932,0.481572,10282.077148
42,0.563473,0.491769,10531.631836
43,0.529918,0.493927,10764.628906
44,0.506906,0.490641,11014.070312
45,0.488138,0.492569,11263.728516
46,0.476992,0.496892,11513.187500
47,0.473457,0.499677,11762.875977
48,0.477500,0.500463,12012.465820
49,0.467465,0.501101,12261.937500
50,0.418042,0.506460,12511.613281
51,0.369479,0.507920,12761.050781
52,0.317967,0.506965,13010.722656
53,0.277831,0.515015,13260.162109
54,0.244413,0.528425,13592.923828
55,0.226715,0.530915,13842.561523
56,0.203836,0.527973,14092.031250
57,0.186869,0.522162,14325.051758
58,0.178024,0.518169,14574.543945
59,0.167883,0.520378,14824.141602
60,0.167495,0.523426,15073.675781
61,0.169010,0.523173,15306.684570
62,0.177075,0.519302,15556.139648
63,0.194800,0.517024,15805.791992
64,0.228637,0.504594,16038.685547
65,0.279927,0.487254,16288.244141
66,0.329932,0.482049,16537.757812
67,0.372308,0.476755,16770.802734
68,0.409332,0.476460,17037.046875
69,0.457526,0.479172,17269.873047
70,0.506471,0.473840,17519.541016
71,0.548182,0.472758,17768.996094
72,0.586774,0.472189,18018.611328
73,0.618292,0.472376,18268.156250
74,0.640792,0.470063,18517.613281
75,0.658583,0.472807,18767.242188
76,0.688564,0.476363,19016.859375
77,0.722161,0.478929,19266.332031
78,0.756314,0.482965,19516.019531
79,0.805158,0.479220,19765.447266
80,0.845569,0.480167,20015.142578
81,0.901608,0.487452,20264.623047
82,0.948271,0.478306,20514.228516
83,0.987804,0.481443,20763.865234
84,0.018872,0.487632,21013.310547
85,0.038566,0.491473,21262.933594
86,0.053525,0.497088,21545.673828
87,0.068067,0.503222,21795.345703
88,0.076641,0.506141,22028.166016
89,0.076017,0.505719,22277.824219
90,0.071137,0.503277,22527.335938
91,0.064817,0.499232,22760.281250
92,0.057920,0.499563,23026.531250
93,0.049507,0.494702,23292.652344
94,0.039492,0.491549,23542.333984
95,0.027408,0.490701,23791.822266
96,0.019576,0.489228,24024.820312
97,0.008564,0.486407,24274.306641
98,0.001228,0.484371,24523.953125
99,0.997379,0.486894,24756.798828
0,0.749908,0.534797,0.009740
1,0.749767,0.536313,266.098694
2,0.751566,0.545919,515.648438
3,0.754341,0.568780,765.154480
4,0.749922,0.617607,1014.791687
5,0.726834,0.667106,1264.279785
6,0.694581,0.731154,1513.863037
7,0.659743,0.765167,1763.388306
8,0.634513,0.794966,2013.004517
9,0.608931,0.816165,2262.636719
10,0.580911,0.817076,2512.104004
11,0.580758,0.816204,2761.790283
12,0.602458,0.808235,3011.278320
13,0.614750,0.776956,3260.846436
14,0.622745,0.715005,3510.376953
15,0.623542,0.640778,3759.979004
16,0.616291,0.571043,4009.450195
17,0.606497,0.506962,4259.097168
18,0.589208,0.456698,4508.575684
19,0.592020,0.399474,4758.136719
20,0.619055,0.354478,5007.648926
21,0.660397,0.365460,5257.321289
22,0.715632,0.429358,5506.866211
23,0.766380,0.462067,5756.397461
24,0.818471,0.478865,6005.892090
25,0.864781,0.486064,6255.476562
26,0.909704,0.493818,6588.244629
27,0.969101,0.501991,6804.618164
28,0.038019,0.513837,7037.504883
29,0.083317,0.525424,7270.353516
30,0.100838,0.533037,7503.334473
31,0.110886,0.536855,7786.189941
32,0.134264,0.535206,8002.416992
33,0.173991,0.531725,8268.720703
