Idx, longitude, latitude, start timestamp
0,0.789392,0.356511,316.115631
1,0.953073,0.679374,1530.558350
2,0.978661,0.601024,1780.209961
3,0.003539,0.577504,2096.383057
4,0.014489,0.621934,2695.327148
5,0.049819,0.726927,3127.812012
6,0.059238,0.806207,3626.992920
7,0.088872,0.800447,3859.947998
8,0.097558,0.736225,4242.516113
9,0.112450,0.635647,4425.504395
10,0.109743,0.576532,4658.528320
11,0.104619,0.545452,4824.917969
12,0.019423,0.457795,5307.286133
13,0.011033,0.457396,5656.749023
14,0.994723,0.485194,6055.996094
15,0.988740,0.479947,6405.489746
16,0.981633,0.479305,6921.256348
17,0.980022,0.442739,7353.682129
18,0.567870,0.433836,8967.556641
19,0.575159,0.429658,9084.064453
20,0.554374,0.414721,9217.253906
21,0.497414,0.417172,9450.073242
22,0.472689,0.490722,9782.764648
23,0.468829,0.465439,10032.441406
24,0.463209,0.484666,10448.382812
25,0.454920,0.394913,10648.022461
26,0.350838,0.472920,11030.711914
27,0.335574,0.487976,11246.868164
28,0.333434,0.488379,11463.283203
29,0.310070,0.958694,12710.973633
30,0.322225,0.939362,12844.125000
31,0.305618,0.973246,13077.132812
32,0.257754,0.963049,13459.725586
33,0.198566,0.983315,13992.132812
34,0.116321,0.971889,14408.062500
35,0.106199,0.961622,14740.846680
36,0.205259,0.943548,15056.939453
37,0.296154,0.953595,15156.915039
38,0.350813,0.955702,15622.540039
39,0.373871,0.954956,15938.711914
40,0.448556,0.969585,16121.880859
41,0.402140,0.958966,16271.405273
42,0.399685,0.930701,16604.335938
43,0.431487,0.901698,17070.025391
44,0.449413,0.881972,17319.636719
45,0.436946,0.885354,17652.419922
46,0.441851,0.886351,17768.919922
47,0.999296,0.502836,19765.339844
48,0.006531,0.508656,20247.908203
49,0.009064,0.475096,20680.505859
50,0.952825,0.563989,21745.181641
51,0.965238,0.524817,22394.050781
52,0.975216,0.524158,22676.968750
53,0.981831,0.527512,22876.558594
54,0.999091,0.479185,23159.398438
55,0.004792,0.411959,23592.080078
0,0.733571,0.452495,166.367813
1,0.744393,0.457515,316.112549
2,0.759023,0.821932,1181.185181
3,0.710342,0.882875,1347.592529
4,0.762129,0.921680,1680.374512
5,0.846430,0.948283,1863.285156
6,0.906240,0.965100,2212.702637
7,0.794353,0.965405,2495.565186
8,0.490949,0.949941,3211.034180
9,0.234962,0.952107,3477.172119
10,0.933379,0.952550,3776.640869
11,0.751532,0.926798,4026.302002
12,0.988052,0.523084,5141.036133
13,0.006289,0.493763,5407.156250
14,0.977071,0.470378,5656.760254
15,0.911996,0.162221,6438.743652
16,0.614915,0.176703,8052.542480
17,0.634221,0.177384,8285.509766
18,0.619793,0.170107,8468.417969
19,0.666278,0.182838,9416.836914
20,0.672608,0.142735,9716.323242
21,0.748069,0.167860,10281.926758
22,0.756707,0.136573,11030.617188
23,0.798490,0.125461,11246.915039
24,0.794572,0.123872,11413.268555
25,0.832385,0.127587,12411.528320
26,0.555506,0.246611,13027.092773
27,0.551131,0.249686,13210.137695
28,0.455453,0.519025,13908.940430
29,0.373228,0.589577,14957.094727
30,0.547908,0.423347,15439.538086
31,0.647995,0.200640,16704.087891
32,0.795629,0.223556,17469.386719
33,0.801223,0.236295,17669.000000
34,0.798753,0.243782,17901.865234
35,0.780350,0.297348,18933.490234
36,0.856391,0.158329,19182.970703
37,0.788738,0.115486,19682.085938
38,0.812091,0.330346,20231.208984
39,0.078802,0.415899,21246.060547
40,0.193396,0.637386,22593.720703
41,0.945260,0.504955,24507.058594
42,0.992519,0.484551,24989.511719
0,0.740373,0.385282,365.913849
1,0.746146,0.343391,648.816467
2,0.478768,0.471833,1497.262817
3,0.446201,0.524947,1813.393433
4,0.384778,0.921037,2578.775146
5,0.281273,0.607179,3493.856201
6,0.281889,0.574396,3693.455566
7,0.289838,0.564190,3959.669922
8,0.308166,0.418478,4142.708496
9,0.326512,0.287815,4658.436523
10,0.413183,0.406544,4907.947754
11,0.436499,0.351728,5107.645508
12,0.423465,0.302411,5274.074707
13,0.389472,0.271760,5640.052246
14,0.443608,0.659041,5956.258789
15,0.457356,0.654767,6155.729004
16,0.483850,0.520373,6538.460449
17,0.475046,0.490925,6788.082031
18,0.472091,0.432326,7037.630371
19,0.534705,0.368813,7536.685059
20,0.523921,0.354310,7869.549316
21,0.516327,0.221613,8168.992188
22,0.504807,0.192359,8335.345703
23,0.434220,0.548514,8518.335938
24,0.547027,0.177956,8718.002930
25,0.599637,0.153271,8884.294922
26,0.654997,0.105928,9100.529297
27,0.476240,0.046237,9316.973633
28,0.728489,0.412358,9982.373047
29,0.834667,0.069731,10531.395508
30,0.948117,0.293067,10913.954102
31,0.999622,0.231829,11146.969727
32,0.986877,0.155113,11379.815430
33,0.981331,0.215840,11646.086914
34,0.016136,0.439622,11995.504883
35,0.984442,0.672782,12561.212891
36,0.964480,0.573108,12977.110352
37,0.046366,0.547713,13343.033203
38,0.047512,0.533567,13459.536133
