Idx, longitude, latitude, start timestamp
0,0.755395,0.454268,16.602875
1,0.743574,0.437966,482.449219
2,0.751804,0.414694,665.442810
3,0.788023,0.429779,931.578979
4,0.821076,0.463017,1164.568848
5,0.804128,0.598923,1613.923462
6,0.818212,0.512021,1929.930908
7,0.813143,0.492515,2179.418701
8,0.743586,0.460523,2445.714111
9,0.746841,0.448720,2894.809570
10,0.615994,0.445187,4126.047363
11,0.594314,0.412672,4375.627930
12,0.681071,0.405794,8801.234375
13,0.693593,0.352835,9100.671875
14,0.688320,0.295565,9549.963867
15,0.685476,0.155706,10581.434570
16,0.079744,0.315005,12278.378906
17,0.189019,0.450399,13709.250977
18,0.196798,0.549274,14208.324219
19,0.319493,0.397360,15672.450195
20,0.302611,0.362787,16005.161133
21,0.314943,0.392783,16387.916016
22,0.282499,0.402174,16654.033203
23,0.234356,0.374768,17136.556641
24,0.243891,0.284115,17619.011719
25,0.249905,0.267732,17868.687500
26,0.198723,0.341795,18101.570312
27,0.163854,0.352324,18600.630859
28,0.129380,0.356052,19099.744141
29,0.034786,0.277284,19865.095703
30,0.814175,0.474550,21994.716797
31,0.817832,0.521778,22809.982422
32,0.817009,0.655091,23442.156250
33,0.701781,0.438319,24540.261719
0,0.741057,0.468387,299.432098
1,0.692687,0.505681,665.449219
2,0.577643,0.421869,1197.794189
3,0.538150,0.374328,1530.570923
4,0.592418,0.146184,2013.102173
5,0.974466,0.302648,3244.250000
6,0.987506,0.240556,3510.568115
7,0.980531,0.239847,3626.889160
8,0.025104,0.476881,4225.904785
9,0.029545,0.448754,4442.185547
10,0.828834,0.490010,5923.067383
11,0.825953,0.762013,6555.081543
12,0.758065,0.850610,6954.491699
13,0.744213,0.320664,7503.460449
14,0.707212,0.404211,7753.046875
15,0.480778,0.447285,8867.781250
16,0.416534,0.568838,9466.707031
17,0.360492,0.694218,9816.138672
18,0.413106,0.912871,10065.726562
19,0.492363,0.806449,10331.943359
20,0.473467,0.784998,10548.132812
21,0.886383,0.356110,11879.095703
22,0.981992,0.242080,12394.926758
23,0.943990,0.272661,12694.375977
24,0.988287,0.237275,13010.507812
25,0.945155,0.500223,13493.025391
26,0.815499,0.422293,14391.500000
27,0.805598,0.365040,14857.293945
28,0.875446,0.478022,15356.458008
29,0.849024,0.462084,15888.876953
30,0.832476,0.390630,16304.805664
31,0.837235,0.365701,16504.388672
32,0.905477,0.505491,16870.386719
33,0.906395,0.514900,16970.259766
34,0.902570,0.506938,17120.025391
35,0.928890,0.479859,17818.785156
36,0.827087,0.528603,18367.742188
37,0.811657,0.553269,18717.138672
38,0.834229,0.454878,19166.343750
39,0.790015,0.487628,19748.759766
40,0.781562,0.505231,20131.375000
41,0.792623,0.433786,20563.957031
42,0.817905,0.473491,21129.554688
43,0.814437,0.440376,21894.943359
44,0.806220,0.484450,22078.019531
45,0.815685,0.452414,22294.314453
46,0.042427,0.388986,23142.857422
47,0.037859,0.383119,23275.966797
48,0.076119,0.236888,23575.378906
49,0.198605,0.380259,23941.490234
0,0.756264,0.508535,515.610107
1,0.702709,0.502205,781.853638
2,0.656226,0.562727,1064.719238
3,0.615513,0.562980,1231.146484
4,0.621291,0.531774,1447.400146
5,0.663072,0.514420,1830.140991
6,0.969327,0.490023,3077.822021
7,0.965612,0.418963,3543.709717
8,0.037194,0.549460,3809.956055
9,0.043877,0.538240,4059.489990
10,0.176621,0.450536,5340.601562
11,0.208751,0.448666,6338.904297
12,0.210262,0.447014,6438.680664
13,0.209890,0.439873,6688.333496
14,0.212812,0.437959,6921.203125
15,0.211804,0.459497,7054.289551
16,0.239883,0.448138,8169.009277
17,0.227626,0.525776,8435.132812
18,0.017751,0.504420,9965.904297
19,0.107750,0.496796,10398.510742
20,0.030586,0.456801,11380.093750
21,0.913452,0.527360,12611.192383
22,0.972931,0.531524,13226.838867
23,0.968621,0.495388,14840.699219
24,0.050726,0.499505,15988.715820
25,0.058251,0.503107,16321.408203
26,0.833755,0.520335,18051.791016
27,0.605702,0.541805,19465.968750
28,0.281171,0.472604,21861.697266
29,0.203732,0.380699,23092.958984
30,0.183613,0.388946,23908.193359
31,0.264917,0.388147,24557.085938
0,0.739380,0.509387,515.676758
1,0.829086,0.558389,781.861267
2,0.829633,0.517907,1114.522095
3,0.818670,0.637875,1647.116821
4,0.810016,0.698397,1863.295410
5,0.816639,0.511455,2478.849121
6,0.816878,0.489729,2711.716309
7,0.811707,0.593476,3027.875977
8,0.846690,0.541212,3843.093018
9,0.918956,0.499789,4142.621582
10,0.915854,0.501760,4242.490723
11,0.953483,0.487227,4508.606445
12,0.030703,0.483922,4824.654785
13,0.050884,0.484057,5041.018555
14,0.046524,0.488613,5157.434082
15,0.090164,0.513261,5756.431152
16,0.107056,0.531183,5922.738770
17,0.117672,0.480075,6172.397949
18,0.106152,0.470909,6521.722168
19,0.098234,0.465005,6787.835938
20,0.201299,0.431250,7237.120605
21,0.188551,0.514408,8002.466797
22,0.230555,0.449644,8385.049805
23,0.821002,0.504028,9982.281250
24,0.586078,0.446136,11413.090820
25,0.472208,0.464343,13858.795898
26,0.364441,0.487192,14357.862305
27,0.318883,0.482929,14856.956055
28,0.385552,0.475794,15439.333984
29,0.499745,0.459108,16587.326172
30,0.819910,0.510398,18250.978516
31,0.026551,0.480871,19831.570312
32,0.103818,0.512438,20763.314453
33,0.108935,0.480071,21212.468750
34,0.047256,0.502466,21961.121094
35,0.022484,0.484168,22194.050781
36,0.022726,0.480794,22377.105469
37,0.016841,0.475852,22593.376953
38,0.986778,0.317356,24074.068359
0,0.744786,0.469252,16.707247
1,0.698978,0.481950,449.170532
2,0.816529,0.476210,665.558533
3,0.825042,0.453272,931.639221
4,0.828449,0.435723,1064.764282
5,0.663341,0.500581,1447.628662
6,0.592696,0.487379,1780.253418
7,0.560061,0.477514,2096.423828
8,0.547320,0.442315,2379.180420
9,0.548364,0.405578,2562.303467
10,0.542183,0.305613,2778.532959
11,0.565655,0.176235,3144.574951
12,0.549483,0.142857,3394.135742
13,0.534743,0.198943,3843.305420
14,0.435830,0.360842,4592.011719
15,0.419789,0.450231,5008.102539
16,0.399716,0.479664,5324.161621
17,0.373039,0.493857,5706.745605
18,0.351205,0.502919,5939.624512
19,0.330929,0.507952,6222.503418
20,0.328026,0.504600,6322.332520
21,0.306621,0.490998,6522.000000
22,0.272670,0.479550,6888.070801
23,0.270178,0.462512,7104.300293
24,0.237703,0.459917,7869.647949
25,0.302021,0.424667,8069.293945
26,0.324946,0.402344,8285.616211
27,0.267556,0.340943,8551.791016
28,0.238924,0.429783,8834.528320
29,0.199989,0.434570,9000.958008
30,0.191607,0.416133,9250.522461
31,0.166755,0.461770,9450.150391
32,0.249701,0.544530,10564.936523
33,0.287595,0.583191,10781.206055
34,0.312711,0.632855,10964.168945
35,0.136065,0.492407,11663.007812
36,0.091792,0.480929,12212.041016
37,0.010399,0.515229,13409.925781
38,0.008132,0.504442,13659.480469
39,0.051318,0.371631,14524.576172
40,0.190552,0.435482,14957.201172
41,0.196288,0.438412,15140.257812
42,0.195089,0.511756,15639.400391
43,0.198726,0.458003,15889.011719
44,0.050215,0.343320,16987.085938
45,0.067085,0.451630,17386.332031
46,0.071580,0.434259,17635.916016
47,0.010447,0.478637,17935.324219
48,0.208200,0.460917,19133.285156
